As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Anindilyakwa,4
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Barkly,2
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Daly,4
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,East Arnhem,5
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Elsey,1
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Gulf,4
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,7
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Petermann - Simpson,5
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tanami,1
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Thamarrurr,2
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tiwi Islands,10
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Victoria River,1
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Virginia,19
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Weddell,6
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,West Arnhem,2
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Yuendumu - Anmatjere,3
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Unknown ,12
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,,93
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Tennant Creek,,21
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Barkly,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Palmerston,,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,2
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,East Arnhem,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,7
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,3
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Anindilyakwa,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Gulf,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Petermann - Simpson,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,2
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tanami,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,West Arnhem,1
2/01/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,,6
