"as_at","year","month_number","offence_category","offence_type","alcohol_involvement","dv_involvement","reporting_region","statistical_area_2","number_of_offences"
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",4
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",5
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",9
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Victoria River",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","West Arnhem",17
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Yuendumu - Anmatjere",5
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Nhulunbuy","",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Palmerston","",17
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Tennant Creek","",9
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",33
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",35
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Darwin","",33
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Darwin","",34
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Katherine","",7
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Barkly",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Elsey",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Gulf",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Howard Springs",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Humpty Doo",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Thamarrurr",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Tiwi Islands",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Unknown ",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Nhulunbuy","",2
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,0,"Nhulunbuy","",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Palmerston","",15
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,0,"Tennant Creek","",8
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",55
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",57
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",58
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Darwin","",59
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,1,"Darwin","",61
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Darwin","",62
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Katherine","",37
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Katherine","",38
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Alligator",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Anindilyakwa",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Barkly",2
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Barkly",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Daly",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","East Arnhem",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Elsey",7
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Gulf",5
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Humpty Doo",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Petermann - Simpson",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Sandover - Plenty",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Tanami",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Thamarrurr",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Tiwi Islands",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Unknown ",2
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Unknown ",7
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Victoria River",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Virginia",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Weddell",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Yuendumu - Anmatjere",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Nhulunbuy","",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Palmerston","",22
"1/08/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Palmerston","",23
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,1,"Palmerston","",24
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",1,1,"Tennant Creek","",22
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",1,1,"Tennant Creek","",23
"1/05/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",31
"2/04/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",32
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",36
"3/03/2025",2024,2,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",37
"2/04/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Darwin","",70
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Darwin","",74
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"Katherine","",11
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Alligator",1
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Anindilyakwa",1
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Daly",2
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","East Arnhem",2
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Gulf",2
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Howard Springs",2
"3/03/2025",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Howard Springs",4
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Humpty Doo",5
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Petermann - Simpson",1
"2/04/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Sandover - Plenty",2
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Sandover - Plenty",3
"4/07/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Tanami",5
"2/04/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Tanami",6
"2/04/2024",2024,2,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Thamarrurr",7
