As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Daly,4
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,East Arnhem,5
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Elsey,1
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Gulf,4
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,7
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Petermann - Simpson,5
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Sandover - Plenty,1
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tanami,1
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Thamarrurr,2
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tiwi Islands,10
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Victoria River,1
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Virginia,19
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Weddell,6
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,West Arnhem,2
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Yuendumu - Anmatjere,3
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Unknown ,12
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,,93
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Tennant Creek,,21
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Barkly,1
