As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Alligator,3
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Anindilyakwa,2
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Barkly,4
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Daly,1
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,East Arnhem,15
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Elsey,4
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Gulf,6
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,3
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,2
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Petermann - Simpson,1
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Sandover - Plenty,3
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tanami,1
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Thamarrurr,10
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tiwi Islands,4
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Victoria River,2
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Virginia,3
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Weddell,7
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,West Arnhem,12
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Yuendumu - Anmatjere,1
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Unknown ,6
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Palmerston,,85
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Tennant Creek,,43
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,Alice Springs,,3
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,Darwin,,16
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,Katherine,,4
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Anindilyakwa,1
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Yuendumu - Anmatjere,1
